timestamp,id,type,x,y,theta
1657100477.8,2470283,VEHICLE,419513.258293962,4732702.59405757,2.2876250743866
1657100477.9,2470283,VEHICLE,419513.426558111,4732702.34625454,2.14786052703857
1657100478.0,2470283,VEHICLE,419513.79972119,4732701.86882503,-0.998443305492401
1657100478.1,2470283,VEHICLE,419513.939719457,4732701.83799258,-0.994651257991791
1657100478.2,2470283,VEHICLE,419514.250014132,4732701.43494164,-1.01142227649689
1657100478.3,2470283,VEHICLE,419514.683218687,4732701.09592556,-1.01203441619873
1657100478.4,2470283,VEHICLE,419514.902476427,4732700.93987065,-1.01355731487274
1657100478.5,2470283,VEHICLE,419515.232156769,4732700.52355309,-1.01168513298035
1657100478.6,2470283,VEHICLE,419515.589980996,4732700.11919409,-1.0119434595108
1657100478.7,2470283,VEHICLE,419516.091764241,4732699.80092811,-1.00412118434906
1657100478.8,2470283,VEHICLE,419516.402834515,4732699.3783148,-0.969226002693176
1657100478.9,2470283,VEHICLE,419516.737865844,4732698.96832202,-0.955440580844879
1657100479.0,2470283,VEHICLE,419517.044743752,4732698.4285186,-0.929506838321686
1657100479.1,2470283,VEHICLE,419517.419029895,4732698.01253978,-0.892973780632019
1657100479.2,2470283,VEHICLE,419517.80491157,4732697.57160934,-0.878942430019379
1657100479.3,2470283,VEHICLE,419518.201555984,4732697.14631408,-0.870280981063843
1657100479.4,2470283,VEHICLE,419518.612062881,4732696.72354499,-0.867596864700317
1657100479.5,2470283,VEHICLE,419519.041804996,4732696.31646788,-0.866258680820465
1657100479.6,2470283,VEHICLE,419519.472388047,4732695.87890601,-0.856020748615265
1657100479.7,2470283,VEHICLE,419519.910917961,4732695.43910911,-0.832404851913452
1657100479.8,2470283,VEHICLE,419520.348694906,4732695.02846162,-0.802726328372955
1657100479.9,2470283,VEHICLE,419520.814593656,4732694.63976393,-0.784196436405182
1657100480.0,2470283,VEHICLE,419521.331039521,4732694.25709554,-0.763914585113525
1657100480.1,2470283,VEHICLE,419521.852170668,4732693.92838556,-0.721787571907043
1657100480.2,2470283,VEHICLE,419522.334262163,4732693.52448242,-0.723549604415894
1657100480.3,2470283,VEHICLE,419522.83080702,4732693.12657649,-0.70848137140274
1657100480.4,2470283,VEHICLE,419523.345048383,4732692.76514241,-0.695001780986786
1657100480.5,2470283,VEHICLE,419523.877279918,4732692.41246057,-0.659409165382385
1657100480.6,2470283,VEHICLE,419524.442557267,4732692.0781492,-0.62922728061676
1657100480.7,2470283,VEHICLE,419525.014017231,4732691.72104234,-0.608704388141632
1657100480.8,2470283,VEHICLE,419525.575630629,4732691.3663937,-0.583232283592224
1657100480.9,2470283,VEHICLE,419526.115287103,4732691.01931528,-0.56721293926239
1657100481.0,2470283,VEHICLE,419526.702072407,4732690.7305836,-0.552018225193024
1657100481.1,2470283,VEHICLE,419527.268365908,4732690.42214963,-0.540060043334961
1657100481.2,2470283,VEHICLE,419527.837665429,4732690.09421976,-0.52361536026001
1657100481.3,2470283,VEHICLE,419528.429892977,4732689.78958351,-0.512206971645355
1657100481.4,2470283,VEHICLE,419529.014821083,4732689.47324,-0.49858832359314
1657100481.5,2470283,VEHICLE,419529.615123605,4732689.17705249,-0.48648989200592
1657100481.6,2470283,VEHICLE,419530.217030593,4732688.89225045,-0.47405007481575
1657100481.7,2470283,VEHICLE,419530.812394561,4732688.60832319,-0.476706594228745
1657100481.8,2470283,VEHICLE,419531.426953905,4732688.32357899,-0.466565638780594
1657100481.9,2470283,VEHICLE,419532.040662989,4732688.06173632,-0.460556387901306
1657100482.0,2470283,VEHICLE,419532.659196432,4732687.80236575,-0.452851533889771
